case	game	suite	category	question_class	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-ability-coral-overwhelming-wave	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		7702	7699	-	7/308/14121	11253	0.0500	0.0046	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-5daf-7000-8000-00b5ffb7fbe4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-5daf-7000-8000-00b5ffb7fbe4?poll=true	-
fh-character-ability-banner-spear-at-all-costs	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		6698	6697	-	7/271/14748	14470	0.0500	0.0041	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-8255-7000-8000-02ccda07128c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-8255-7000-8000-02ccda07128c?poll=true	-
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		10316	10314	-	7/290/14159	13862	0.0500	0.0044	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-a187-7000-8000-01a6dbd48482?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-a187-7000-8000-01a6dbd48482?poll=true	-
fh-character-ability-boneshaper-life-in-death	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		8028	8026	-	7/313/14759	10928	0.0500	0.0047	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-d1ac-7000-8000-015f999bba72?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-d1ac-7000-8000-015f999bba72?poll=true	-
fh-character-ability-blinkblade-blurry-jab	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		10849	10846	-	7/305/14833	14521	0.0500	0.0046	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-fa7d-7000-8000-021d3350559a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/5f694283-0fb0-4418-9ddd-a96aeff88c9c/r/019f34d3-fa7d-7000-8000-021d3350559a?poll=true	-
gh2-character-ability-mindthief-submissive-affliction	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		7383	7380	-	7/329/14911	14575	0.0500	0.0049	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-35ba-7000-8000-0345ec0f73ab?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-35ba-7000-8000-0345ec0f73ab?poll=true	-
gh2-character-ability-nightshroud-spirit-of-the-night	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		9186	9182	-	7/305/14797	14485	0.0500	0.0046	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-5970-7000-8000-03d33da2ec4c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-5970-7000-8000-03d33da2ec4c?poll=true	-
gh2-character-ability-doomstalker-rain-of-arrows	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		11776	11773	-	7/455/15022	14560	0.0500	0.0068	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-84de-7000-8000-030b71191806?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-84de-7000-8000-030b71191806?poll=true	-
gh2-character-ability-cragheart-opposing-strike	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		8261	8258	-	7/376/14903	14520	0.0500	0.0056	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-bb5a-7000-8000-00d8e0bb9fb5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-bb5a-7000-8000-00d8e0bb9fb5?poll=true	-
gh2-character-ability-bruiser-trample	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		6971	6967	-	7/319/14786	11572	0.0500	0.0048	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-e5a1-7000-8000-0308a1f19e7c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/a1f682ac-0f4d-490b-bb66-32a017ec7250/r/019f34d4-e5a1-7000-8000-0308a1f19e7c?poll=true	-
