case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-item-002-crude-helmet	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		5234	5229	-	6/211/7509	0	0.0500	0.0032	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f53-d16a-7000-8000-01b2f317dc6c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f53-d16a-7000-8000-01b2f317dc6c?poll=true	-
fh-character-ability-banner-spear-at-all-costs	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		10921	10917	-	7/291/14242	5306	0.0500	0.0044	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f53-eaa1-7000-8000-0176112ec446?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f53-eaa1-7000-8000-0176112ec446?poll=true	-
fh-item-007-crude-bow	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8707	8705	-	6/193/7488	0	0.0500	0.0029	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-1a43-7000-8000-03a1374ffd22?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-1a43-7000-8000-03a1374ffd22?poll=true	-
fh-battle-goal-acrobat	frosthaven	table-qa	battle-goals	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3810	3808	-	6/155/7421	0	0.0500	0.0023	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-4225-7000-8000-02ff7118e49e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-4225-7000-8000-02ff7118e49e?poll=true	-
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		7447	7444	-	7/316/14267	5309	0.0500	0.0047	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-550e-7000-8000-03a74f4b2b5c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-550e-7000-8000-03a74f4b2b5c?poll=true	-
fh-monster-ability-algox-snowspeaker-blinding-vortex	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		8343	8341	-	7/323/14415	5310	0.0500	0.0048	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-7710-7000-8000-0214484fe92e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-7710-7000-8000-0214484fe92e?poll=true	-
fh-monster-abael-warlord-normal-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		5848	5844	-	7/302/13788	5301	0.0500	0.0045	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-9f75-7000-8000-0225d2c1a77f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-9f75-7000-8000-0225d2c1a77f?poll=true	-
fh-item-010-crude-shield	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		5324	5322	-	6/212/7499	0	0.0500	0.0032	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-bbd1-7000-8000-00d0dcd38136?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-bbd1-7000-8000-00d0dcd38136?poll=true	-
fh-monster-ability-algox-icespeaker-warding-swipe	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		13112	10443	-	9/564/36307	21555	0.0500	0.0085	3	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-d779-7000-8000-026617b5d17b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f54-d779-7000-8000-026617b5d17b?poll=true	-
fh-monster-algox-guard-normal-level-0	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		6160	6158	-	7/288/14386	5298	0.0500	0.0043	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f55-0fe2-7000-8000-03a74077f242?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/b0193d49-e09c-447b-bd71-c1eab74f688a/r/019f2f55-0fe2-7000-8000-03a74077f242?poll=true	-
