case	game	suite	category	question_class	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		8770	8765	-	7/297/14166	5468	0.0500	0.0045	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34ce-898b-7000-8000-01600ab8d8c4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34ce-898b-7000-8000-01600ab8d8c4?poll=true	-
fh-character-ability-blinkblade-blurry-jab	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		7715	7713	-	7/318/14846	5469	0.0500	0.0048	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34ce-b2c6-7000-8000-00e1d42d6a62?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34ce-b2c6-7000-8000-00e1d42d6a62?poll=true	-
fh-character-ability-coral-overwhelming-wave	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		8450	8448	-	7/275/14068	5462	0.0500	0.0041	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34ce-d97b-7000-8000-016f4bfbbe93?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34ce-d97b-7000-8000-016f4bfbbe93?poll=true	-
fh-character-ability-boneshaper-life-in-death	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		8133	8129	-	7/317/14759	5464	0.0500	0.0048	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34cf-00e4-7000-8000-027c8e768fb6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34cf-00e4-7000-8000-027c8e768fb6?poll=true	-
fh-character-ability-banner-spear-at-all-costs	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		8230	8228	-	7/271/14748	5465	0.0500	0.0041	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34cf-27e1-7000-8000-00b51e27ee7e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/be1d35c2-cb27-4ad1-a162-c3ed1394f959/r/019f34cf-27e1-7000-8000-00b51e27ee7e?poll=true	-
gh2-character-ability-cragheart-opposing-strike	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	0.8	pass		7138	7135	-	7/339/14866	5467	0.0500	0.0051	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-56a9-7000-8000-03efcefb4dcc?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-56a9-7000-8000-03efcefb4dcc?poll=true	-
gh2-character-ability-doomstalker-rain-of-arrows	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		9751	9749	-	7/343/14910	5470	0.0500	0.0051	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-7d73-7000-8000-029f6a5cdfeb?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-7d73-7000-8000-029f6a5cdfeb?poll=true	-
gh2-character-ability-mindthief-submissive-affliction	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		7630	7625	-	7/361/14943	11603	0.0500	0.0054	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-ad07-7000-8000-03d04d6168b5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-ad07-7000-8000-03d04d6168b5?poll=true	-
gh2-character-ability-nightshroud-spirit-of-the-night	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		6512	6508	-	7/304/14796	5469	0.0500	0.0046	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-d33f-7000-8000-01aaa6931eb1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-d33f-7000-8000-01aaa6931eb1?poll=true	-
gh2-character-ability-bruiser-trample	gloomhaven-2e	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		7639	7635	-	7/333/14801	5466	0.0500	0.0050	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-f467-7000-8000-016d0975430f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/51908a45-0073-45a2-b5c3-a48c0b6bcf95/r/019f34cf-f467-7000-8000-016d0975430f?poll=true	-
