case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
rule-scenario-level	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		27474	12805	-	7/1162/22292	5439	0.0500	0.0174	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b0-ca93-7000-8000-0259ecb0d358?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b0-ca93-7000-8000-0259ecb0d358?poll=true	-
fh-scenario-6-avalanche	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		1885	1885	-	3/95/5555	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-3bb1-7000-8000-00c1bc4b94cd?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-3bb1-7000-8000-00c1bc4b94cd?poll=true	-
fh-scenario-7-edge-of-the-world	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		1884	1882	-	3/95/5555	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-496e-7000-8000-02f7b8e73d00?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-496e-7000-8000-02f7b8e73d00?poll=true	-
fh-monster-ability-algox-snowspeaker-trap-solo-blinding-vortex	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		9499	6841	-	7/371/18181	5461	0.0500	0.0056	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-56de-7000-8000-028a8b6b3306?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-56de-7000-8000-028a8b6b3306?poll=true	-
fh-battle-goal-accountant	frosthaven	table-qa	battle-goals	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8189	8186	-	6/174/7775	0	0.0500	0.0026	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-82ac-7000-8000-02a9691e9f3b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-82ac-7000-8000-02a9691e9f3b?poll=true	-
drifter-ignore-negative-item-effects-correction	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3802	3799	-	6/161/8232	0	0.0500	0.0024	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-a6eb-7000-8000-01b8b0f609fd?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-a6eb-7000-8000-01b8b0f609fd?poll=true	-
fh-scenario-8-crystal-trench	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		8424	8422	-	3/95/5555	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-be7b-7000-8000-011c39b4893d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-be7b-7000-8000-011c39b4893d?poll=true	-
fh-character-mat-blinkblade	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		13327	9282	-	8/449/25773	11108	0.0500	0.0067	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-e7f6-7000-8000-02bc832d2e31?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b1-e7f6-7000-8000-02bc832d2e31?poll=true	-
rule-advantage	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		26519	16676	-	7/1053/22014	5440	0.0500	0.0158	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-221d-7000-8000-039722256856?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-221d-7000-8000-039722256856?poll=true	-
fh-item-011-simple-charm	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2986	2984	-	3/99/5544	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-902a-7000-8000-02bfd5b31201?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-902a-7000-8000-02bfd5b31201?poll=true	-
