case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-item-002-crude-helmet	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2538	2536	-	3/100/5546	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-80b7-7000-8000-0150b788fed5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-80b7-7000-8000-0150b788fed5?poll=true	-
fh-character-ability-banner-spear-at-all-costs	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		6018	6015	-	7/271/14715	5454	0.0500	0.0041	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-9014-7000-8000-0112183a8f9b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-9014-7000-8000-0112183a8f9b?poll=true	-
fh-item-007-crude-bow	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2029	2028	-	3/100/5546	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-bde9-7000-8000-029319a48de6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-bde9-7000-8000-029319a48de6?poll=true	-
fh-battle-goal-acrobat	frosthaven	table-qa	battle-goals	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		4407	4405	-	6/168/7779	0	0.0500	0.0025	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-cab1-7000-8000-01f4d041af86?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-cab1-7000-8000-01f4d041af86?poll=true	-
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	0.8	pass		7342	7340	-	7/335/14779	5457	0.0500	0.0050	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-e027-7000-8000-0132b1731512?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307c-e027-7000-8000-0132b1731512?poll=true	-
fh-monster-ability-algox-snowspeaker-blinding-vortex	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8384	5252	-	7/322/18111	5458	0.0500	0.0048	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-0484-7000-8000-02944535e887?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-0484-7000-8000-02944535e887?poll=true	-
fh-monster-abael-warlord-normal-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1967	1966	-	3/83/5535	0	0.0500	0.0013	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-2a74-7000-8000-03ebdd969797?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-2a74-7000-8000-03ebdd969797?poll=true	-
fh-item-010-crude-shield	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2237	2235	-	3/99/5544	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-3725-7000-8000-022a3a3ef56c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-3725-7000-8000-022a3a3ef56c?poll=true	-
fh-monster-ability-algox-icespeaker-warding-swipe	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.2	pass		13265	13261	-	8/679/29044	13371	0.0500	0.0102	5	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-44cc-7000-8000-01f46b532c9a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-44cc-7000-8000-01f46b532c9a?poll=true	-
fh-monster-algox-guard-normal-level-0	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1980	1979	-	3/99/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-7f4a-7000-8000-03fcdb99bf1b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-7f4a-7000-8000-03fcdb99bf1b?poll=true	-
