case	game	suite	category	question_class	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
monster-living-bones-immunity	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		9256	7572	-	7/196/15176	5451	0.0500	0.0029	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-594f-7000-8000-014ad25f31de?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-594f-7000-8000-014ad25f31de?poll=true	-
fh-rule-exhaustion-active-cards	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		10952	8278	fail	7/376/16921	5458	0.0500	0.0056	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-835f-7000-8000-004665bd4c05?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-835f-7000-8000-004665bd4c05?poll=true	-
fh-item-011-simple-charm	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2378	2376	-	3/99/5555	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-b516-7000-8000-03d44e0f00a7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-b516-7000-8000-03d44e0f00a7?poll=true	-
fh-character-mat-coral	frosthaven	table-qa	character-mats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1929	1928	-	3/96/5569	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-c585-7000-8000-001ed375ea63?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-c585-7000-8000-001ed375ea63?poll=true	-
rule-brittle	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		13986	8545	-	7/513/20393	5451	0.0500	0.0077	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-d132-7000-8000-03f1ac9edf68?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345a-d132-7000-8000-03f1ac9edf68?poll=true	-
fh-item-007-crude-bow	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2645	2642	-	3/100/5557	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-104c-7000-8000-03bb1d317963?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-104c-7000-8000-03bb1d317963?poll=true	-
fh-item-002-crude-helmet	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1838	1836	-	3/100/5557	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-20a2-7000-8000-01bd5a86c2c8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-20a2-7000-8000-01bd5a86c2c8?poll=true	-
fh-multihop-scenario-17-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		8053	8050	fail	12/367/23092	11224	0.0500	0.0055	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-2e25-7000-8000-023f1a4a4911?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-2e25-7000-8000-023f1a4a4911?poll=true	-
fh-monster-algox-icespeaker-elite-level-7	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1896	1895	-	3/103/5567	0	0.0500	0.0016	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-540b-7000-8000-00e8c5597524?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-540b-7000-8000-00e8c5597524?poll=true	-
fh-multihop-scenario-10-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		14137	14131	fail	12/571/23587	11242	0.0500	0.0086	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-6457-7000-8000-01f20a37af8b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-6457-7000-8000-01f20a37af8b?poll=true	-
