case	game	suite	category	question_class	lane	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	judge_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-mat-banner-spear	frosthaven	table-qa	character-mats	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		9468	6566	-	956/269/8489	0	0.0500	0.0315	0.0013	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-2bf2-7000-8000-00f8b3cce4b3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-2bf2-7000-8000-00f8b3cce4b3?poll=true	-
fh-scenario-4a-heart-of-ice-a	frosthaven	table-qa	scenarios	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		6998	6981	-	835/389/8261	6170	0.0500	0.0108	0.0019	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-556c-7000-8000-02505a47c687?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-556c-7000-8000-02505a47c687?poll=true	-
fh-monster-algox-icespeaker-normal-level-2	frosthaven	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2119	1450	-	3376/47/3423	0	0.0500	0.0036	0.0014	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-797c-7000-8000-014001069dde?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-797c-7000-8000-014001069dde?poll=true	-
fh-item-003-traveling-cloak	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2445	1494	-	3537/59/3596	0	0.0500	0.0038	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-892d-7000-8000-00f42f4a009c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-892d-7000-8000-00f42f4a009c?poll=true	-
building-mining-camp-level-1	frosthaven	table-qa	buildings	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2329	1426	pass	3117/75/3192	0	0.0500	0.0035	0.0016	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-9ae1-7000-8000-030248e35f07?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-9ae1-7000-8000-030248e35f07?poll=true	-
fh-character-ability-boneshaper-life-in-death	frosthaven	table-qa	character-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		2948	1551	-	2782/114/2896	0	0.0500	0.0034	0.0018	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-ab53-7000-8000-00dbc0ed925a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-ab53-7000-8000-00dbc0ed925a?poll=true	-
fh-scenario-6-avalanche	frosthaven	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2999	1912	-	5615/78/5693	0	0.0500	0.0060	0.0016	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-c286-7000-8000-00e9c13cf724?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-c286-7000-8000-00e9c13cf724?poll=true	-
fh-item-008-crude-spear	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2300	1267	-	3637/75/3712	0	0.0500	0.0040	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-d543-7000-8000-01e6b3b74270?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-d543-7000-8000-01e6b3b74270?poll=true	-
scenario-7-edge-world-unlocks	frosthaven	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1933	1312	pass	4848/53/4901	0	0.0500	0.0051	0.0015	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-e51a-7000-8000-009118b65b14?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-e51a-7000-8000-009118b65b14?poll=true	-
fh-battle-goal-acrobat	frosthaven	table-qa	battle-goals	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2035	1351	-	2173/45/2218	0	0.0500	0.0024	0.0012	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-f41e-7000-8000-01f35e39a520?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/8c3844d7-ecee-47f3-8022-af5fee9cc23f/r/019f4997-f41e-7000-8000-01f35e39a520?poll=true	-
