case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	latency_ms	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
gh2-rule-scenario-level	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	12329	4/500/9875	9371	0.0500	0.0075	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/36b6c509-8065-5e85-8014-744b004c6e23?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/36b6c509-8065-5e85-8014-744b004c6e23?poll=true	-
gh2-rule-long-rest-init	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	6552	4/235/7292	7053	0.0500	0.0035	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/4764e748-3916-57ee-983a-0b0c60b5e10d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/4764e748-3916-57ee-983a-0b0c60b5e10d?poll=true	-
gh2-rule-long-rest-steps	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	12550	4/458/10009	9547	0.0500	0.0069	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/8c73673e-c8bf-519c-8b6b-6c054914838f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/8c73673e-c8bf-519c-8b6b-6c054914838f?poll=true	-
gh2-rule-poison	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.2	20244	7/504/16718	8804	0.0500	0.0076	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/f7c3cd6a-cd2d-597d-89cb-a22b4fea1786?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/f7c3cd6a-cd2d-597d-89cb-a22b4fea1786?poll=true	-
gh2-rule-wound	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	11165	4/323/9351	9024	0.0500	0.0048	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/7663938d-295a-50e6-98a6-15a3aca41fd5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/7663938d-295a-50e6-98a6-15a3aca41fd5?poll=true	-
gh2-rule-advantage	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.4	23767	4/1006/10278	5072	0.0500	0.0151	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/18888b83-820f-58a4-9439-06e5ff18d850?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/18888b83-820f-58a4-9439-06e5ff18d850?poll=true	-
gh2-rule-small-items	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	6415	4/314/7339	7021	0.0500	0.0047	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/9a6da068-3404-5a67-9ccb-53371bcef28e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/9a6da068-3404-5a67-9ccb-53371bcef28e?poll=true	-
gh2-rule-looting-definition	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	11853	7/625/16771	5064	0.0500	0.0094	3	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/6b486377-66e6-5fa2-8e92-019fe8c46955?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/6b486377-66e6-5fa2-8e92-019fe8c46955?poll=true	-
gh2-faq-red-hex-aoe-targets	gloomhaven-2e	table-qa	rulebook	faq		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	11750	4/427/9773	5082	0.0500	0.0064	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/0733bb98-e3ec-53cf-b36a-56a0a86f8e45?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/0733bb98-e3ec-53cf-b36a-56a0a86f8e45?poll=true	-
gh2-errata-campaign-sheet-section-29	gloomhaven-2e	table-qa	rulebook	errata		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	13545	8/697/14847	7996	0.0500	0.0105	5	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/db97397f-a085-5ce1-96d8-83f050c6bb99?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/d2a644ae-c64f-49ab-8b4a-fdf09e00f65a/r/db97397f-a085-5ce1-96d8-83f050c6bb99?poll=true	-
